 0.1738000000000000E+04, 0.4902799806931690E+04, 7.7400000000000000E-06,  660,  660,    1, 0.0000000000000000E+00, 0.0000000000000000E+00                                                                                                         
    1,    0, 0.0000000000000000E+00, 0.0000000000000000E+00, 0.0000000000000000E+00, 0.0000000000000000E+00             
    1,    1, 0.0000000000000000E+00, 0.0000000000000000E+00, 0.0000000000000000E+00, 0.0000000000000000E+00             
    2,    0,-9.0882923650771000E-05, 0.0000000000000000E+00, 1.5300000000000000E-10, 0.0000000000000000E+00             
    2,    1, 8.4954064857652000E-11, 9.7726994478963000E-10, 6.1700000000000000E-12, 7.1800000000000000E-12             
    2,    2, 3.4670944268756000E-05,-2.4064244523445000E-10, 4.8700000000000000E-11, 9.2700000000000000E-12             
    3,    0,-3.1974039070981000E-06, 0.0000000000000000E+00, 2.3600000000000000E-12, 0.0000000000000000E+00             
    3,    1, 2.6367948585301000E-05, 5.4545621847344000E-06, 2.6600000000000000E-12, 2.6700000000000000E-12             
    3,    2, 1.4171538267300000E-05, 4.8779443647939000E-06, 4.0800000000000000E-12, 4.1500000000000000E-12             
    3,    3, 1.2275202024553000E-05,-1.7743747889595000E-06, 8.6600000000000000E-12, 8.3800000000000000E-12             
    4,    0, 3.2347924522417000E-06, 0.0000000000000000E+00, 6.6700000000000000E-13, 0.0000000000000000E+00             
    4,    1,-6.0134612265187000E-06, 1.6643327702085000E-06, 7.7200000000000000E-13, 7.1900000000000000E-13             
    4,    2,-7.1161737190123000E-06,-6.7770230383514000E-06, 1.0500000000000000E-12, 1.0200000000000000E-12             
    4,    3,-1.3499173662211000E-06,-1.3444991147298000E-05, 1.9500000000000000E-12, 1.8800000000000000E-12             
    4,    4,-6.0069115393815000E-06, 3.9266111458205000E-06, 4.9900000000000000E-12, 4.7600000000000000E-12             
    5,    0,-2.2378186921630000E-07, 0.0000000000000000E+00, 2.8100000000000000E-13, 0.0000000000000000E+00             
    5,    1,-1.0116123460056000E-06,-4.1189034337587000E-06, 3.0200000000000000E-13, 2.8400000000000000E-13             
    5,    2, 4.3995350687644000E-06, 1.0571040222894000E-06, 3.9000000000000000E-13, 3.8600000000000000E-13             
    5,    3, 4.6619443222845000E-07, 8.6988722731551000E-06, 8.6500000000000000E-13, 8.3100000000000000E-13             
    5,    4, 2.7542004508342000E-06, 6.7624331748839000E-08, 3.5200000000000000E-12, 3.4800000000000000E-12             
    5,    5, 3.1107298179928000E-06,-2.7545431341824000E-06, 6.3600000000000000E-12, 6.4000000000000000E-12             
    6,    0, 3.8184191011809000E-06, 0.0000000000000000E+00, 1.5000000000000000E-13, 0.0000000000000000E+00             
    6,    1, 1.5282769193243000E-06,-2.5995934726699000E-06, 1.7400000000000000E-13, 1.5300000000000000E-13             
    6,    2,-4.3973005721118000E-06,-2.1676869353337000E-06, 1.9800000000000000E-13, 1.8500000000000000E-13             
    6,    3,-3.3175420296933000E-06,-3.4274097833201000E-06, 4.4600000000000000E-13, 4.2100000000000000E-13             
    6,    4, 3.4122057961179000E-07,-4.0580193556196000E-06, 1.4500000000000000E-12, 1.3900000000000000E-12             
    6,    5, 1.4543741845815000E-06,-1.0341804065343000E-05, 1.8800000000000000E-12, 1.8800000000000000E-12             
    6,    6,-4.6842414195666000E-06, 7.2298542235022000E-06, 3.7800000000000000E-12, 3.2600000000000000E-12             
    7,    0, 5.5933881887179000E-06, 0.0000000000000000E+00, 1.2400000000000000E-13, 0.0000000000000000E+00             
    7,    1, 7.4716915273387000E-06,-1.1974837275945000E-07, 1.3500000000000000E-13, 1.5500000000000000E-13             
    7,    2,-6.5012294054409000E-07, 2.4111005879337000E-06, 1.5100000000000000E-13, 1.7900000000000000E-13             
    7,    3, 5.9942806310729000E-07, 2.3573269328809000E-06, 3.6100000000000000E-13, 3.5000000000000000E-13             
    7,    4,-8.4369454620858000E-07, 7.5651532118738000E-07, 1.1400000000000000E-12, 1.1200000000000000E-12             
    7,    5,-2.0682821988196000E-07, 1.0693087986911000E-06, 1.1700000000000000E-12, 1.1900000000000000E-12             
    7,    6,-1.0653045588942000E-06, 1.1004282428111000E-06, 2.2900000000000000E-12, 2.3300000000000000E-12             
    7,    7,-1.8202645695564000E-06,-1.5999965833572000E-06, 4.4900000000000000E-12, 4.6100000000000000E-12             
    8,    0, 2.3468300594816000E-06, 0.0000000000000000E+00, 9.7800000000000000E-14, 0.0000000000000000E+00             
    8,    1, 4.1735904924527000E-09, 1.0980290732908000E-06, 1.0100000000000000E-13, 1.4200000000000000E-13             
    8,    2, 3.0093221489840000E-06, 1.9305655599870000E-06, 1.2300000000000000E-13, 1.1200000000000000E-13             
    8,    3,-1.8890482916189000E-06, 9.5448280394919000E-07, 2.5100000000000000E-13, 2.6800000000000000E-13             
    8,    4, 3.4086972282043000E-06,-5.2824948185726000E-07, 5.7800000000000000E-13, 5.6200000000000000E-13             
    8,    5,-1.2480443032891000E-06, 2.9185712820190000E-06, 5.4100000000000000E-13, 5.3800000000000000E-13             
    8,    6,-1.6604388534337000E-06,-2.1146631041151000E-06, 1.4400000000000000E-12, 1.2700000000000000E-12             
    8,    7,-1.5096535588051000E-06, 3.2688520883962000E-06, 1.8400000000000000E-12, 1.8600000000000000E-12             
    8,    8,-2.4856047110162000E-06, 2.1164273548016000E-06, 3.2400000000000000E-12, 2.9600000000000000E-12             
    9,    0,-3.5309168027709000E-06, 0.0000000000000000E+00, 8.9800000000000000E-14, 0.0000000000000000E+00             
    9,    1, 1.8669553929177000E-06, 8.1043932783699000E-08, 1.0900000000000000E-13, 9.3400000000000000E-14             
